head	display_name	rows	in_shopping	poi_type	store_kind	concentration	majority_category	categories	already_in_dictionary
maos de	Mãos de	3	0	store	clothing	0.667	clothing_store	clothing_store:2|fashion:1	False
party fiesta	Party Fiesta	3	1	store	party_supply	1.0	party_supply	party_supply:2|shopping:1	False
luggage storage	Luggage Storage	3	0	store	luggage	1.0	luggage_store	luggage_store:3	False
why not	Why Not	3	0	store	e_cigarette	0.667	e_cigarette_store	e_cigarette_store:2|clothing_store:1	False
let s	Let's Go	3	0	store	hardware	0.667	home_improvement_store	office_equipment:1|home_improvement_store:1|building_supply_store:1	False
meia duzia	meia.duzia	3	0	store	souvenir	0.667	souvenir_shop	souvenir_shop:2|flowers_and_gifts_shop:1	False
foreva	Foreva	3	0	store	shoes	0.667	shoe_store	shoe_store:2|clothing_store:1	True
galeria da	Galeria da	3	0	store	antique	0.667	antique_store	antique_store:2|gift_shop:1	False
ricami veronica	Ricami Veronica	3	0	store	arts_and_crafts	0.667	arts_and_crafts	arts_and_crafts:2|flowers_and_gifts_shop:1	False
electromendes	Electromendes	3	1	store	electronics	1.0	electronics	shopping:1|electronics:1|appliance_store:1	False
estudio de	Estúdio de	3	0	store	clothing	0.667	clothing_store	clothing_store:2|cosmetic_and_beauty_supplies:1	False
jose carlos	José Carlos	3	0	store	hardware	0.667	building_supply_store	building_supply_store:1|home_improvement_store:1|lawn_mower_store:1	False
intermarche	Intermarché	3	1	store	any	1.0	superstore	superstore:2|shopping:1	False
ana silva	Ana Silva	3	0	store	womens_clothing	0.667	womens_clothing_store	womens_clothing_store:2|cosmetic_and_beauty_supplies:1	False
ourivesaria suica	Ourivesaria Suiça	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
ourivesaria coimbra	Ourivesaria Coimbra	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
kozii shop	Kozii Shop	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
palloram	Palloram	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
reparacao mobile	Reparação Mobile	3	0	store	phone	0.667	mobile_phone_store	mobile_phone_store:2|computer_store:1	False
joias da	Jóias da	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
new fashion	New Fashion	3	0	store	clothing	0.667	clothing_store	clothing_store:2|womens_clothing_store:1	False
joalharia do	Joalharia do	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
moda da	Moda da	3	0	store	clothing	1.0	clothing_store	clothing_store:3	False
carlos manuel	Carlos Manuel	3	0	store	auto_parts_and_supply	0.667	auto_parts_and_supply_store	auto_parts_and_supply_store:2|jewelry_store:1	False
expert	Expert	3	0	store	electronics	0.667	electronics	electronics:2|department_store:1	False
adega de	Adega de	3	1	store	wine_and_spirits	1.0	liquor_store	liquor_store:2|shopping:1	False
nova moda	Nova Moda,	3	0	store	clothing	0.667	clothing_store	clothing_store:2|thrift_store:1	False
gira sol	Gira Sol	3	0	store	childrens_clothing	0.667	childrens_clothing_store	childrens_clothing_store:2|clothing_store:1	False
cay ville	Cay Ville	3	0	store	clothing	0.667	clothing_store	clothing_store:2|womens_clothing_store:1	False
neway shopping	Neway Shopping	3	0	store	any	1.0	department_store	department_store:3	False
phone fix	Phone Fix	3	0	store	phone	1.0	mobile_phone_store	mobile_phone_store:3	False
pedemeia	Pedemeia	3	0	store	clothing	0.667	clothing_store	clothing_store:2|lingerie_store:1	False
ourivesaria carlos	Ourivesaria Carlos	3	0	store	jewelry	1.0	jewelry_store	jewelry_store:3	False
i racional	i Racional	3	0	store	pet	1.0	pet_store	pet_store:3	False
cabeceiras pt	Cabeceiras.pt Loja	3	0	store	furniture	0.667	furniture_store	furniture_store:2|mattress_store:1	False
dietsport	DietSport	3	0	store	vitamins_and_supplements	1.0	vitamins_and_supplements	vitamins_and_supplements:3	False
my dream	My Dream	3	0	store	clothing	0.667	clothing_store	clothing_store:2|nursery_and_gardening:1	False
vestidos de	Vestidos de	3	0	store	bridal	0.667	bridal_shop	bridal_shop:2|clothing_store:1	False
jumbo	Jumbo	3	1	store	any	1.0	superstore	superstore:2|shopping:1	False
imagem	Imagem	3	1	store	clothing	1.0	clothing_store	clothing_store:2|shopping:1	False
gasolineira auchan	Gasolineira Auchan	3	0	store	electronics	0.667	electronics	electronics:2|pet_store:1	False
robert mauser	Robert Mauser	3	0	store	electronics	1.0	electronics	electronics:3	False
